Order Number,Supplier,Equipment Type,Order Date,Rental Start,Rental End,Estimated Total,Source
ECU7UX8,"Equipment Share","Telehandler Reach Forklift, 8000 lbs, 41 - 43 ft",2026-01-09,2026-01-12,2026-01-19,1777.5,Graham
9GD3FV6,"Illinois Lift Equipment - Cary IL","Electric Articulating Boom Lift, 30 ft",2026-01-09,2026-01-12,2026-01-13,210.75,System Process
PJL3FCY,"Equipment Share","Custom/Other",2026-01-08,2026-01-09,2026-01-16,149.76,Graham
73V7PWC,"Equipment Share","Custom/Other",2026-01-08,2026-01-09,2026-01-16,1473,Graham
R39JXGS,"MacAllister Rentals - Fort Wayne IN","Pneumatic Tire Forklift, 5000 lbs",2026-01-08,2026-01-16,2026-01-23,696,Graham
LDCP746,"Skye Heavy Equipment Rentals - Asheboro NC","Articulated Dump Truck, 30 ton+",2026-01-08,2026-01-12,2026-02-09,8500,Graham
LLZEZKT,"Need a Lift Rentals - Fort Lauderdale FL","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-07,2026-01-08,2026-01-10,250.4,System Process
XD3YXZA,"Equipment Share","Electric Scissor Lift, 32 ft (Indoor Use Only)",2026-01-07,2026-01-07,2026-01-08,362.48,Graham
9CG2SKJ,"Sunstate Equipment - Las Vegas (Henderson) NV","Electric Scissor Lift, 20 ft (Indoor Use Only)",2026-01-07,2026-01-07,2026-01-14,260,Graham
9AP45Y4,"Sunstate Equipment - Las Vegas (Henderson) NV","Electric Scissor Lift, 20 ft (Indoor Use Only)",2026-01-07,2026-01-07,2026-01-14,260,Graham
ASHKLT8,"Equipment Share","Telehandler Reach Forklift, 6000 lbs, 32 - 39 ft",2026-01-05,2026-01-06,2026-01-07,599,Graham
V36HVDK,"Equipment Share","Custom/Other",2026-01-05,2026-01-06,2026-02-02,1142,Graham
QYFVALJ,"Equipment Share - Fort Worth (South) TX","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-01-05,2026-01-19,2026-01-23,411,Graham
8JYGR4A,"Equipment Share","Telehandler Reach Forklift, 10000 lbs, 50 - 56 ft",2026-01-05,2026-01-02,2026-01-30,3952,Graham
VX7T923,"Skyblack Rentals - Houston TX","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-01-03,2026-01-07,2026-01-14,301.6,System Process
C9JBKBB,"Illinois Lift Equipment - Cary IL","Pneumatic Tire Forklift, 5000 lbs",2026-01-02,2026-01-07,2026-01-08,235.2,System Process
WXG2WTT,"Sunstate Equipment - Denver CO","Electric Scissor Lift, 32 ft (Indoor Use Only)",2025-12-31,2026-01-09,2026-01-16,450,Graham
YXYC9SS,"Equipment Share","Articulating Boom Lift, 80 ft, Dual Fuel/Diesel",2025-12-31,2026-03-02,2026-03-03,866.4,Graham
J3JUS84,"Equipment Share","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-31,2026-01-05,2026-01-11,341.28,Graham
FQT57BC,"Illinois Lift Equipment - Cary IL","Pneumatic Tire Forklift, 5000 lbs",2025-12-26,2025-12-29,2025-12-30,235.2,System Process
QCCHHZF,"Rent Rite - Alma MI","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-22,2025-12-22,2025-12-23,105.7,System Process
CETUH7Y,"Aerial Plus - Burlington ON","Electric Scissor Lift, 32 ft (Indoor Use Only)",2025-12-22,2025-12-23,2025-12-29,340,System Process
2U27JG3,"Evcon Rentals","Tracked Skid Steer, 2200 lbs",2025-12-19,2025-12-22,2025-12-28,1275,Graham
Y32Q7FC,"Strobel's Rentals - East Side Great Falls MT","Custom/Other",2025-12-19,2026-01-05,2026-01-18,150,Graham
KV7DH95,"Strobel's Rentals - East Side Great Falls MT","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-12-19,2026-01-05,2026-01-18,1600,Graham
STKLTVH,"Carolina Containers & Transport - Raleigh NC","Tracked Skid Steer, 1700 lbs",2025-12-19,2025-12-19,2025-12-20,275,Graham
64DT7HT,"Best Rental Centers Inc - Altamonte Springs FL","Walk Behind Skid Steer",2025-12-18,2025-12-20,2025-12-21,275,Graham
ZGFHGRY,"Oak Grove Rentals  - Oak Grove MO","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-12-18,2025-12-22,2025-12-24,300,Graham
99BXAHJ,"Rapid Rentals - Castaic CA","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-18,2025-12-21,2025-12-22,70.7,System Process
JRETZE9,"Aerial Plus - Burlington ON","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-18,2025-12-18,2026-01-15,460,System Process
JGDZBJB,"Synergy Equipment - Austin TX","Telehandler Reach Forklift, 12000 lbs, 55 - 56 ft",2025-12-17,2025-12-22,2025-12-23,750,Graham
RLWQXD6,"Durants Tool Rentals - New Windsor NY","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-12-17,2025-12-17,2025-12-18,186,Graham
6G4GGYY,"Great Rate Rentals - South Windsor CT","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-12-17,2025-12-18,2025-12-20,598,Graham
VLT4ZUZ,"V-Bar Equipment - Abilene TX","Pneumatic Tire Forklift, 5000 lbs",2025-12-16,2025-12-17,2025-12-18,225,Graham
